DATE,C_COMPILER,C_TUTORIAL,CSHARP_COMPILER,CSHARP_TUTORIAL,CPLUSPLUS_COMPILER,CPLUSPLUS_TUTORIAL,CALCULATORPLUS,CALENDARPLUS,COMPILERPLUS,CSS_TUTORIAL,DART_COMPILER,DART_TUTORIAL,GO_COMPILER,GO_TUTORIAL,HTML_TUTORIAL,JAVA_COMPILER,JAVA_TUTORIAL,JAVASCRIPT_COMPILER,JAVASCRIPT_TUTORIAL,KOTLIN_COMPILER,KOTLIN_TUTORIAL,MOTIVATIONPLUS,NOTESPLUS,PHP_COMPILER,PHP_TUTORIAL,PYTHON_COMPILER,PYTHON_TUTORIAL,RUBY_COMPILER,RUBY_TUTORIAL,SUCCESS_STORIES,SWIFT_COMPILER,SWIFT_TUTORIAL,TASKSPLUS,TIMEPLUS,TRAVEL_DIARIES,XML_TUTORIAL
06-09-2021,15,4,1,0,8,0,4,2,3,0,0,0,0,0,2,6,9,4,24,0,0,2,2,0,0,2,16,0,0,0,1,1,0,0,0,0
10-09-2021,3,1,0,24,8,8,0,8,0,0,0,17,1,2,1,0,6,0,6,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,9,0
15-09-2021,0,0,1,4,0,0,0,1,0,11,0,0,0,0,0,3,4,0,1,0,0,1,1,0,0,2,1,0,0,1,0,1,2,0,0,0
16-09-2021,7,5,1,2,0,1,13,2,10,6,0,0,4,22,0,2,3,1,1,0,0,30,0,0,0,8,18,0,0,6,5,7,10,16,1,0
17-09-2021,1,3,1,16,1,1,2,0,3,13,0,0,10,1,0,6,6,1,1,0,0,2,0,1,1,6,13,0,0,0,1,1,1,21,1,0
19-09-2021,1,0,2,2,2,2,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,0,1,3,0,0
20-09-2021,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14,0,0
20-04-2021,2,4,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,1,0,28,6,0,0,0,1,0,0,0,0,0,48,1,0,0
21-04-2021,11,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,2,0,1,0,0,0,0,0,0,0,4,0,0,0
22-04-2021,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0
23-04-2021,2,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,0,0,2,0,0,0,1,0,0,4,0,1,0
24-04-2021,8,9,1,0,1,0,9,1,1,0,0,0,0,0,0,6,3,0,0,0,0,11,1,0,0,1,1,0,0,5,0,0,10,1,0,0
25-04-2021,1,1,1,0,1,2,10,0,0,0,0,0,0,0,0,2,4,1,0,0,0,4,1,0,0,0,0,0,0,4,0,2,12,0,0,0
26-04-2021,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,1,3,0,1,1,0,0,1,0,1,0,2,0,0,2,0,0,2,0,0,0
27-04-2021,3,5,0,0,1,4,1,1,0,3,0,0,0,0,0,3,5,0,1,0,0,1,0,0,0,0,3,0,0,2,0,0,8,0,0,0
28-04-2021,2,2,0,0,0,0,3,1,1,1,0,0,0,1,1,1,4,1,2,1,0,1,1,0,1,0,2,0,1,3,0,0,3,0,0,0
29-04-2021,1,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,4,0,0,0,0,0,4,0,0,2,3,0,0,1,0,0,0,2,0,0
30-04-2021,0,2,1,1,0,0,1,1,1,0,1,0,0,0,0,5,2,0,0,0,0,2,0,0,0,0,3,0,0,3,0,0,0,0,0,0
01-05-2021,0,0,1,0,1,0,0,2,1,0,1,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
02-05-2021,2,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0
05-05-2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0
07-05-2021,0,0,0,0,0,0,3,1,1,0,1,0,0,1,0,1,1,2,0,1,0,0,1,0,2,1,1,0,0,2,0,0,1,0,0,0
12-05-2021,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,0,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
14-05-2021,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,1,2,0,0,0
17-05-2021,38,19,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,3,0,0,0
19-05-2021,17,19,0,0,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,0,0,0,0,1,0,0,13,0,0,0
21-05-2021,1,0,3,0,1,0,1,0,0,0,1,0,0,0,0,4,30,1,0,0,0,8,0,0,0,1,1,0,0,0,0,0,1,0,0,0
23-05-2021,5,0,0,0,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,5,0,0,1,0,0,0
26-05-2021,2,1,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0
28-06-2021,1,0,0,0,4,163,3,0,0,0,0,0,0,0,0,11,10,0,0,0,0,1,5,0,0,2,6,7,18,4,24,5,2,0,0,0
01-08-2021,9,2,5,4,1,1,1,1,2,2,0,2,0,1,9,4,9,5,4,0,0,6,0,2,3,4,1,1,1,0,1,0,0,0,0,1
10-08-2021,1,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27-08-2021,0,0,1,0,2,2,3,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,1,2,0,0,1,2,0,1,0
28-08-2021,0,1,0,0,0,1,2,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1,2,0,0,0,7,4,1,2,0,0
31-08-2021,5,4,1,0,0,1,2,0,21,0,0,0,2,6,18,13,0,2,0,1,0,10,0,0,0,0,0,0,0,0,0,1,5,0,0,1
01-09-2021,0,0,13,13,0,0,0,0,9,9,0,0,0,1,6,13,0,0,0,0,0,3,0,0,0,1,7,0,0,0,0,0,1,10,0,0
11-09-2021,1,0,2,59,1,0,0,3,0,0,0,0,2,0,0,2,1,1,3,0,0,19,0,1,1,1,0,0,0,2,0,1,1,1,0,0
12-09-2021,3,8,0,48,0,11,4,6,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,1,0,0,0
29-06-2021,0,0,0,0,83,4,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,1,0,1,0,42,12,5,0,4,17,0,0,0,1
05-07-2021,4,0,2,1,2,25,6,1,0,0,158,0,0,0,0,5,1,0,0,191,0,0,1,0,0,0,0,0,0,7,0,0,21,0,0,0
10-07-2021,2,0,4,1,0,1,11,20,12,0,1,0,0,0,0,2,1,58,18,0,0,2,12,0,0,0,0,0,1,0,0,0,2,0,0,0
16-07-2021,5,0,2,0,11,8,0,10,26,0,0,0,0,3,0,2,11,4,1,1,0,0,0,0,0,9,5,0,0,0,0,0,0,0,0,0
24-07-2021,1,0,0,7,11,5,6,0,0,5,0,0,2,1,109,1,12,3,5,0,1,1,0,0,1,3,1,0,0,0,13,11,1,0,0,1
25-07-2021,0,0,0,90,0,4,0,1,1,0,0,0,2,0,108,0,5,9,0,0,1,1,6,0,0,4,8,0,0,0,0,1,2,0,0,0
26-07-2021,0,1,1,1,1,85,1,1,0,0,0,4,6,2,5,1,6,2,11,0,7,7,0,0,1,4,4,0,1,0,0,1,1,1,0,0
28-07-2021,1,0,1,1,1,1,0,2,0,0,0,0,0,3,20,1,12,0,2,0,1,10,0,0,0,1,2,0,0,0,0,0,0,0,0,0
31-07-2021,3,2,3,1,2,0,0,2,1,3,0,0,0,0,3,1,4,2,0,1,0,2,1,1,1,2,0,0,1,0,0,1,4,0,0,0
06-08-2021,2,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,1,5,7,9,1,1,7,6,0,0,1,0,0,0,0
07-08-2021,8,7,1,3,0,5,0,2,0,0,0,0,0,0,1,1,2,1,0,0,0,12,0,9,11,5,3,11,8,0,0,1,0,1,0,0
11-08-2021,7,5,6,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0
13-08-2021,0,0,0,0,0,4,3,1,0,1,0,0,0,0,0,4,4,1,2,0,0,2,0,0,0,2,0,0,0,0,0,2,1,0,0,0
15-08-2021,1,0,1,1,0,1,0,1,0,0,2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0
